reference_clause,target_clause,compliance,source_file
Receiving Party may acquire information similar to Confidential Information from a third party.,"The Recipient shall not be precluded from disclosing the Confidential Information that is  (i) obtained by the Recipient without restriction from a third party who is not in breach of any obligation as to confidentiality to the owner of such Confidential Information or any other person, or",compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"2.3 Provided that the Recipient has a written agreement with the following persons or entities requiring them to treat the Confidential Information in accordance with this Agreement, the Recipient may disclose the Confidential Information to: 2.3.2 the Recipient’s employees, officials, representatives and agents who have a strict need to know the contents of the Confidential Information, and employees, officials, representatives and agents of any legal entity that it controls, controls it, or with which it is under common control, who have a similar need to know the contents of the Confidential Information, provided that, for these purposes a controlled legal entity means: 2.3.2.2 any entity over which the Party exercises effective managerial control; or,",compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,The Recipient shall use the Confidential Information solely for the purpose for which it was disclosed;,compliant,Annex E_Non-Disclosure and Confidentiality Agreement.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"Any and all proprietary rights, including but not limited to rights to and in inventions, patent rights, utility models, copyrights, trademarks and trade secrets, in and to any Confidential Information shall be and remain with the Participants respectively, and Mentor shall not have any right, license, title or interest in or to any Confidential Information, except the limited right to review, assess and help develop such Confidential Information in connection with the Copernicus Accelerator 2017.",compliant,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf
Confidential Information shall only include technical information.,"“Confidential Information” means any Idea disclosed to Mentor, all data and information, know-how, business concepts, software, procedures, products, services, development projects, and programmes contained in such Idea and/or its description and any conclusions.",noncompliant,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf
Some obligations of Agreement may survive termination of Agreement.,"Notwithstanding the termination of this Agreement, any Confidential Information must be kept confidential for as long as such Confidential Information is not publicly known unless it becomes part of the public domain through no wrongful act of Mentor.",compliant,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"At Organiser’s first request, Mentor shall: (d) erase and/or destroy any Confidential Information contained in computer memory or data storage apparatus of, under control of or used by Mentor; (e) remove the Confidential Information from any software or data base of, under control of/or used by Mentor that incorporates or uses the Confidential Information in whole or in part; and",noncompliant,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",Mentor shall not disclose any Confidential Information to any third party or to Mentor’s employees and/or employer without the prior written consent of the Participants.,noncompliant,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","If Mentor is required by mandatory, non-appealable judicial or administrative process and/or order to disclose Confidential Information, then Mentor shall promptly notify Organiser and allow Organiser and the Participants reasonable time to oppose such process unless this is not admissible under a mandatory law, judicial or administrative order.",compliant,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,Confidential Information does not include: > information received from a third party who was free to disclose such information.,compliant,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,Mentor shall not disclose any Confidential Information to any third party or to Mentor’s employees and/or employer without the prior written consent of the Participants.,noncompliant,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"Mentor shall not use any Confidential Information for any purpose except to review, assess and help develop the Participants´ Ideas.",compliant,CopAcc_NDA-and-ToP-Mentors_2.0_2017.pdf
Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,"Upon termination of this Agreement, all Confidential Information in the possession or control of a Participating Entity and its Representatives that received such information shall be returned to the Participating Entity that disclosed the information, including all copies of such information in any form whatsoever, unless otherwise instructed in writing by the Participating Entity that disclosed the information.",compliant,Cyber Mutual Assistance NDA.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,This Agreement is not intended to create any right in or obligation of any Participating Entity or third party other than those expressly stated herein.,compliant,Cyber Mutual Assistance NDA.pdf
Some obligations of Agreement may survive termination of Agreement.,"The provisions of Sections 1, 2, 3, 4, 5 and 6 shall survive the termination of this Agreement for a period of ten (10) years.",compliant,Cyber Mutual Assistance NDA.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"Notwithstanding anything in this paragraph 6 to the contrary, a Participating Entity may retain a record copy of any Confidential Information if required to do so by applicable law.",compliant,Cyber Mutual Assistance NDA.pdf
Confidential Information may include verbally conveyed information.,"“Confidential Information” under this Agreement consists of: (iv) all observations of equipment (including computer screens) and oral disclosures related to the development of any Cyber Mutual Assistance Program or a specific request for or response to cyber mutual assistance, including the systems, operations, and activities of each Participating Entity, whether such observations or oral disclosures were made prior to or following the execution of this Agreement.",compliant,Cyber Mutual Assistance NDA.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","Each Participating  Entity agrees  (ii) without the express permission of the Participating Entity providing such information, not to disclose such information to third parties, and",noncompliant,Cyber Mutual Assistance NDA.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","(a) In the event that any governmental authority issues an order, subpoena, or other lawful process or a Participating Entity receives a discovery request in a civil proceeding (""Legal Process"") requiring the disclosure of any Confidential Information, the Participating Entity receiving such Legal Process shall notify in writing the other Participating Entities within five (5) business days of receipt.  Upon receipt of a Freedom of Information Act or public records disclosure request, such Participating Entity shall:  (i) notify each Participating Entity or Participating Entities whose information is subject to such disclosure request immediately upon receipt of a request for public records that include all or part of the Confidential Information; and",compliant,Cyber Mutual Assistance NDA.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,"Notwithstanding Sections 1 and 2, a Participating Entity shall not have breached any obligation under this Agreement if the Confidential Information is disclosed to a third party when the Confidential Information: (f) after the time of its disclosure hereunder, becomes subsequently available to such Participating Entity on a non-confidential basis from a source not known by such Participating Entity to be bound by a confidentiality agreement or secrecy obligation in respect thereof.",compliant,Cyber Mutual Assistance NDA.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"Notwithstanding the forgoing, a Participating Entity may use and internally share Confidential Information as deemed necessary to respond to an actual or threatened cyber emergency that places, or has the potential to place, the Participating Entity’s cyber systems at risk.",compliant,Cyber Mutual Assistance NDA.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"Each Participating  Entity agrees  (iii) to use such information only for the express purpose of developing and implementing a Cyber Mutual Assistance Program, including in connection with any request for or provision of cyber mutual assistance between Participating Entities.  Each Participating  Entity shall use the Confidential Information received hereunder only for the purposes identified in Section 1.  Any other use shall be only with the prior written consent of the Participating Entity or Participating Entities that provided the Confidential Information sought to be used.",compliant,Cyber Mutual Assistance NDA.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,5. No Further Rights All Confidential Information is and shall remain the property of Disclosing Party.  Nothing contained in this Agreement shall be construed to as granting or conferring any rights in the Confidential Information except as provided herein.,compliant,DBT%20Mutual%20NDA.pdf
Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,"The existence of any business negotiations, discussions, consultations, or agreements in progress between the parties shall not be released to any form of public media, unless agreed between the parties in writing.",compliant,DBT%20Mutual%20NDA.pdf
Confidential Information shall only include technical information.,"Confidential Information includes, without limitation, non-public information relating to released or unreleased Disclosing Party software products, the marketing or promotion of any Disclosing Party product, Disclosing Party’s business policies or practices, financial information, technical information, computer systems, infrastructure designs, data, analysis, compilations, studies or other documentation and information received from others that Disclosing Party is obligated to treat as confidential.",noncompliant,DBT%20Mutual%20NDA.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,"1. Confidential Information “Confidential Information” means nonpublic information that disclosing party (“Disclosing Party”) designates as being confidential or which, under the circumstances surrounding disclosure the receiving party (“Receiving Party”) should know is treated as confidential by the Disclosing Party.",noncompliant,DBT%20Mutual%20NDA.pdf
Receiving Party may independently develop information similar to Confidential Information.,"Confidential Information shall not include any information that:  (iv) is independently developed by Receiving Party without access to the Disclosing Party’s information, or",compliant,DBT%20Mutual%20NDA.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"Upon the request of the Disclosing Party, Receiving Party shall return all originals, copies, reproductions and summaries of Confidential Information at Disclosing Party’s request, or at Disclosing Party’s option, certify destruction of the same.",noncompliant,DBT%20Mutual%20NDA.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",Confidential Information shall not include any information that:  (v) the Confidential Information is required to be disclosed pursuant to a requirement of a governmental agency or law so long as the other party is provided notice of such requirement prior to any such disclosure.,compliant,DBT%20Mutual%20NDA.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,"Confidential Information shall not include any information that:  (iii) became known to Receiving Party from a source other than Disclosing Party other than by the breach of an obligation of confidentiality owed to Disclosing Party;  The parties expressly agree that the provision of Information hereunder and discussions held in connection with the Transaction shall not prevent either party from pursuing similar discussions with third parties or obligate either party to continue discussions with the other or to take, continue or forego any action relating to the Transaction.",compliant,DBT%20Mutual%20NDA.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"The Receiving Party agrees disclose Confidential Information only to those employees who need to know such information and certifies that such employees have previously agreed, either as a condition to employment or in order to obtain the Confidential Information, to be bound by terms and conditions substantially similar to those of this Agreement.",compliant,DBT%20Mutual%20NDA.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"Each party agrees that it shall not make use of, disseminate, or in any way disclose any Confidential Information of the Disclosing Party to any person, firm, or business, except to the extent necessary for the Transaction.",compliant,DBT%20Mutual%20NDA.pdf
Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,"2. Upon the termination of this Agreement for any reason, the confidentiality provisions set forth herein shall continue to apply to the Data shared with Data Recipient pursuant to this Agreement.  Except as provided in paragraph  (3) of this subsection, upon termination of this Agreement, for any reason, Data Recipient shall return or destroy the Data provided by DOHMH that Data Recipient maintains in any form, and all copies of the Data in all its forms.  3. In the event that Data Recipient determines that returning or destroying all of the Data, and all copies of the Data, is infeasible, Data Recipient shall provide to DOHMH notification of the conditions that make return or destruction infeasible.  Upon receipt by DOHMH of such notification that return or destruction of the Data is infeasible, Data Recipient shall extend the protections of this Agreement to such Data and limit further uses and disclosures of such Data to those purposes that make the return or destruction infeasible, for so long as Data Recipient maintains such Data.",compliant,Data Use Agreement New York City.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,The Data Recipient hereby acknowledges that the DOHMH is the exclusive owner of the Data and all trade secrets and other rights therein.  No license or conveyance of any such rights is granted or implied under this Agreement.,compliant,Data Use Agreement New York City.pdf
Some obligations of Agreement may survive termination of Agreement.,"2. Upon the termination of this Agreement for any reason, the confidentiality provisions set forth herein shall continue to apply to the Data shared with Data Recipient pursuant to this Agreement.  Upon the Expiration of this Agreement, only the continued use of Data for the purposes set forth in Attachment B will cease.  All other provisions of this Agreement, including this Section V, shall survive.",compliant,Data Use Agreement New York City.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"3. In the event that Data Recipient determines that returning or destroying all of the Data, and all copies of the Data, is infeasible, Data Recipient shall provide to DOHMH notification of the conditions that make return or destruction infeasible.  Upon receipt by DOHMH of such notification that return or destruction of the Data is infeasible, Data Recipient shall extend the protections of this Agreement to such Data and limit further uses and disclosures of such Data to those purposes that make the return or destruction infeasible, for so long as Data Recipient maintains such Data.",compliant,Data Use Agreement New York City.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","1. Only the Data Recipient’s employees and/or consultants required to use the Data to perform the functions of this Agreement that are set forth in Attachment B, and so designated by Data Recipient as “Authorized Users” in Attachment C to this Agreement, will be given access to the Data. A. Nothing express or implied in this Agreement is intended to confer, nor shall anything herein confer, upon any person other than the Parties, any rights, remedies, obligations, or liabilities whatsoever.",compliant,Data Use Agreement New York City.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,"Except as set forth in Section III, Data Recipient shall not reproduce the Data in any form without the prior written consent of DOHMH.",noncompliant,Data Use Agreement New York City.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"1. Only the Data Recipient’s employees and/or consultants required to use the Data to perform the functions of this Agreement that are set forth in Attachment B, and so designated by Data Recipient as “Authorized Users” in Attachment C to this Agreement, will be given access to the Data.",compliant,Data Use Agreement New York City.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"A. Data Recipient agrees to use the Data solely for the purposes set forth in Attachment B to this Agreement, and for no other purposes. Except as otherwise provided in this Agreement, Data Recipient shall not, at any time, directly or indirectly disclose, share, give, loan, sell, or otherwise grant access to the Data provided pursuant to this Agreement, in part or in whole, to any other person or organization.",compliant,Data Use Agreement New York City.pdf
Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,"IV. NO REVERSE ENGINEERING; WORK PRODUCT: Receiving Party shall not reverse-engineer, analyze, attempt to duplicate or otherwise attempt to determine the design or method of compiling samples, prototypes or products of the Originating Party except pursuant to a mutually acceptable, written agreement executed by the parties.",compliant,Dealer-Pay-NDA-4.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,No express or implied license under any intellectual property rights of either party is granted or conveyed to the other party under this Agreement.,compliant,Dealer-Pay-NDA-4.pdf
Confidential Information shall only include technical information.,"A. “Confidential Information” as used herein any and all confidential and/or proprietary information concerning the Originating Party’s business and such party’s trade secrets, proprietary data and business data, whether oral or written, tangible or intangible, which is disclosed to or learned by the Receiving Party in the course of the Discussions or otherwise while working with the Originating Party, and/or discovered, developed, conceived, originated, appreciably modified, or prepared in scope of Receiving Party’s relationship with the Originating Party, including but not limited to the following: 1. Business plans, acquisition plans, expansion plans, business development plans; 2. Financial information, personnel information, training information, management systems and recruitment strategies; 3. All commercial data relating to the business and products of Originating Party; 4. Identity and contact information regarding vendors and suppliers; 6. Pricing and marketing/business strategies; 8. Customer identities and customer contact information; 9. Customer credit information; 10. Information regarding customer preferences and particularized needs; 11. Product development strategies, expansion plans, and internal business plans, procedures, or methods of operation; and",noncompliant,Dealer-Pay-NDA-4.pdf
Some obligations of Agreement may survive termination of Agreement.,Both parties further agree that their obligations under this paragraph survive the termination of the relationship between the two parties.,compliant,Dealer-Pay-NDA-4.pdf
Receiving Party may independently develop information similar to Confidential Information.,"13. “Confidential Information” shall not include information which, now or in the future, is available to the public (other than through improper disclosure by the Receiving Party); information rightly acquired from a third party without any obligation of confidentiality; information that is independently developed without the use of any Confidential Information; or information already known by Receiving Party prior to disclosure by Originating Party, as demonstrated by written evidence.",compliant,Dealer-Pay-NDA-4.pdf
Confidential Information may include verbally conveyed information.,"A. “Confidential Information” as used herein any and all confidential and/or proprietary information concerning the Originating Party’s business and such party’s trade secrets, proprietary data and business data, whether oral or written, tangible or intangible, which is disclosed to or learned by the Receiving Party in the course of the Discussions or otherwise while working with the Originating Party, and/or discovered, developed, conceived, originated, appreciably modified, or prepared in scope of Receiving Party’s relationship with the Originating Party, including but not limited to the following:",compliant,Dealer-Pay-NDA-4.pdf
Receiving Party shall not solicit some of Disclosing Party's representatives.,"V. NON-SOLICITATION OF EMPLOYEES AND/OR CONTRACTORS: Receiving Party recognizes and acknowledges that, while engaged in Discussions and/or while involved in a Business Relationship, such party will be in a position to utilize Originating Party’s goodwill and have access to and/or utilize Confidential Information of Originating Party that would enable Receiving Party to take advantage of that goodwill and/or Confidential Information to the detriment of the Originating Party, by attempting, for example, to recruit or solicit employees, and/or contractors of Originating Party.  Therefore, in consideration of the mutual agreements made in this Agreement, during the course of the Business Relationship and for a period of 36 months after termination of the Business Relationship, Receiving Party agrees not to directly or indirectly communicate, solicit, induce, hire, recruit, take away, employ, endeavor to employ (on Receiving Party’s own behalf or on behalf of any other person or entity) or attempt to influence any employee or contractor in any way that may have the effect of causing the cessation or curtailment of their respective relationships with Originating Party.",compliant,Dealer-Pay-NDA-4.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,"Receiving Party therefore agrees that neither it nor its  Representatives will at any time make any independent business or personal use of, retain, copy, divulge, disclose, reveal or communicate to any other person or organization (except as expressly authorized in writing by Originating Party, as required to analyze the Business Relationship or as required to fulfill Receiving Party’s obligations to Originating Party) any Confidential Information.  IV. NO REVERSE ENGINEERING; WORK PRODUCT: Receiving Party shall not reverse-engineer, analyze, attempt to duplicate or otherwise attempt to determine the design or method of compiling samples, prototypes or products of the Originating Party except pursuant to a mutually acceptable, written agreement executed by the parties.",noncompliant,Dealer-Pay-NDA-4.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","III. LEGALLY REQUIRED DISCLOSURES: If Receiving Party is requested to disclose any Confidential Information of the Originating Party under applicable law, in any judicial or administrative proceeding, or in response to a formal request of a regulatory or governmental authority (including law enforcement), then, except as otherwise required to comply with applicable law, the Receiving Party shall promptly notify the Originating Party of such request so that Originating Party may resist such disclosure or seek an appropriate protective order, and shall provide all information and assistance reasonably requested by Originating Party in connection therewith, at the Originating Party’s sole expense.",compliant,Dealer-Pay-NDA-4.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,"13. “Confidential Information” shall not include information which, now or in the future, is available to the public (other than through improper disclosure by the Receiving Party); information rightly acquired from a third party without any obligation of confidentiality; information that is independently developed without the use of any Confidential Information; or information already known by Receiving Party prior to disclosure by Originating Party, as demonstrated by written evidence.",compliant,Dealer-Pay-NDA-4.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"Receiving Party therefore agrees that neither it nor its  Representatives will at any time make any independent business or personal use of, retain, copy, divulge, disclose, reveal or communicate to any other person or organization (except as expressly authorized in writing by Originating Party, as required to analyze the Business Relationship or as required to fulfill Receiving Party’s obligations to Originating Party) any Confidential Information.",compliant,Dealer-Pay-NDA-4.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"No right or licence is granted to either party in relation to the other party's Confidential Information except as expressly set out in this Agreement and the Disclosing Party shall retain all rights, title and interest to its Confidential Information.",compliant,Disclosure documents.pdf
Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,"Neither party shall disclose the Purpose or the existence of this Agreement or reveal that discussions are taking place between the parties to another person without the prior written consent of the other party except to the extent that such disclosure is required by law, by a court of competent jurisdiction, by the rules of any stock exchange or by another appropriate regulatory body.",compliant,Disclosure documents.pdf
Some obligations of Agreement may survive termination of Agreement.,The obligations and responsibilities of the parties shall survive the termination of this Agreement.,compliant,Disclosure documents.pdf
Receiving Party may independently develop information similar to Confidential Information.,This Agreement does not apply to Confidential Information: (d) which has been independently developed by the Receiving Party without reference to the Disclosing Party’s Confidential Information.,compliant,Disclosure documents.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"8.1 Each party undertakes within three business days of the receipt of a written request of the other party or on termination of this Agreement, at the option of the other party: (b) to destroy by shredding or incineration all of the other party's Confidential Information and that part of all documents and other material in its possession, custody or control which bear or incorporate any part of the other party's Confidential Information and take reasonable steps to expunge all Confidential Information (and any copy that may have been made) from any computer, word processor or other device containing the Confidential Information.",noncompliant,Disclosure documents.pdf
Confidential Information may include verbally conveyed information.,"Confidential Information means any information disclosed (whether before or after the date of this Agreement, in writing, verbally or otherwise and whether directly or indirectly) by or on behalf of the Disclosing Party or an Affiliate of the Disclosing Party to the Receiving Party in connection with the Purpose;",compliant,Disclosure documents.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","Each party may disclose the Confidential Information of the other party in the following circumstances: (b) to its employees, professional advisors, affiliates, consultants, shareholders, financiers and authorised representatives but only to the extent that disclosure is necessary for the purpose; or A person who is not a party to this Agreement shall have no right under the Contracts (Rights of Third Parties) Act 1999 to enforce any of its terms.",compliant,Disclosure documents.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,"In addition, each party undertakes not to use the other party's Confidential Information except for the Purpose, not to disclose, copy, reproduce or distribute the other party's Confidential Information to a third person and to use all reasonable efforts to prevent any such disclosure except as permitted under Clause 4 but in no event less than reasonable security measures and reasonable care.",noncompliant,Disclosure documents.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","Each party may disclose the Confidential Information of the other party in the following circumstances: (c) where disclosure is required by law, by a court of competent jurisdiction, by the rules of any stock exchange or by another appropriate regulatory body, provided that all reasonable steps to prevent such disclosure shall be taken, the disclosure shall be of the minimum amount required, and the Receiving Party consults the Disclosing Party first on the proposed form, timing, nature and purpose of the disclosure with as much prior notice as is practicable in the circumstances.",compliant,Disclosure documents.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,This Agreement does not apply to Confidential Information: (c) which subsequently comes into the possession of the Receiving Party from a third party who does not owe the Disclosing Party an obligation of confidence in relation to it; or,compliant,Disclosure documents.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"Each party may disclose the Confidential Information of the other party in the following circumstances: (b) to its employees, professional advisors, affiliates, consultants, shareholders, financiers and authorised representatives but only to the extent that disclosure is necessary for the purpose; or",compliant,Disclosure documents.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"In addition, each party undertakes not to use the other party's Confidential Information except for the Purpose, not to disclose, copy, reproduce or distribute the other party's Confidential Information to a third person and to use all reasonable efforts to prevent any such disclosure except as permitted under Clause 4 but in no event less than reasonable security measures and reasonable care. Each party may disclose the Confidential Information of the other party in the following circumstances: (a) with the prior written consent of the other party; A variation of this Agreement is valid only if it is in writing and signed by or on behalf of each of the parties.",compliant,Disclosure documents.pdf
Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,3. All CONFIDENTIAL INFORMATION furnished hereunder shall be returned at the conclusion of each meeting between Vendor and the State.,compliant,DoiT-ICN-NonDisclosure-Agreement.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"2. No license under any trademark, patent, copyright, mask work protection right or any other intellectual property right is either granted or implied by conveying CONFIDENTIAL INFORMATION to Vendor.",compliant,DoiT-ICN-NonDisclosure-Agreement.pdf
Confidential Information shall only include technical information.,"WHEREAS, both parties, for their mutual benefit, desire to have the State disclose to Vendor certain specifications, designs, plans, drawings or other business and/or technical information which is proprietary, restricted or secret, and confidential to the State (“CONFIDENTIAL INFORMATION"").",noncompliant,DoiT-ICN-NonDisclosure-Agreement.pdf
Some obligations of Agreement may survive termination of Agreement.,"5. The obligations of this Agreement with respect to the disclosure and use of CONFIDENTIAL INFORMATION shall survive for a period of three (3) years from the date of last disclosure. 6. The parties recognize and agree that the obligations under paragraphs 1 and 6 of this Agreement shall survive the termination of this Agreement, and the parties shall be bound by such obligations after termination hereof.",compliant,DoiT-ICN-NonDisclosure-Agreement.pdf
Receiving Party may independently develop information similar to Confidential Information.,"These restrictions on the use or disclosure of CONFIDENTIAL INFORMATION shall not apply to any CONFIDENTIAL INFORMATION: i. which is independently developed by Vendor or is lawfully received free of restriction from another source having the right to so furnish such CONFIDENTIAL INFORMATION; ii. after it has become generally available to the public without breach of this Agreement by Vendor; iii. which, at the time of disclosure to Vendor, was known to Vendor to be free of restriction; or iv.  which the State agrees in writing is free of such restrictions.",compliant,DoiT-ICN-NonDisclosure-Agreement.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","Vendor shall restrict disclosure of such CONFIDENTIAL INFORMATION to its employees with a need to know (and advise such employees of the obligations assumed herein), and shall not disclose such CONFIDENTIAL INFORMATION to any third party without prior written approval of the State.",noncompliant,DoiT-ICN-NonDisclosure-Agreement.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,"These restrictions on the use or disclosure of CONFIDENTIAL INFORMATION shall not apply to any CONFIDENTIAL INFORMATION: i. which is independently developed by Vendor or is lawfully received free of restriction from another source having the right to so furnish such CONFIDENTIAL INFORMATION; ii. after it has become generally available to the public without breach of this Agreement by Vendor; iii. which, at the time of disclosure to Vendor, was known to Vendor to be free of restriction; or iv.",compliant,DoiT-ICN-NonDisclosure-Agreement.pdf
